outcome,spec,term,b,se,p,n
THE,q50,IX,0.05760699017806914,0.05289366708313185,0.27610564384622027,1077
THE,q50,GDP,0.8387798760376768,0.11884155684282141,1.6895525149070508e-12,1077
THE,q50,POP,1.9898248839706554,0.06902121601962696,9.243837061072356e-183,1077
THE,q50,URB,-0.2163243954834435,0.08528661895153486,0.011198591707263042,1077
THE,q75,INFRA,-0.13828404793083848,0.08428334127408717,0.10085879346007716,1077
THE,q75,HCR,-0.04944371412229742,0.06711623649970198,0.46131221394216415,1077
THE,q75,IX,0.08168059692195939,0.03483702128687655,0.01904498481260464,1077
THE,q75,GDP,0.5850245923106441,0.09653813106762474,1.360907120474257e-09,1077
THE,q75,POP,1.728118896902597,0.04856459597444264,2.483751721924087e-277,1077
THE,q75,URB,-0.047849842292691847,0.04882577958972289,0.3270802722435582,1077
AL,full,INFRA,1.232403721801018,0.22820695376605074,6.812665639374956e-06,971
AL,full,HCR,0.6620336771918001,0.3403904457996683,0.06090362489992574,971
AL,full,IX,-0.23466431393977194,0.20149369370554984,0.25305580775936215,971
AL,full,GDP,0.45308384394918116,0.49491434132595363,0.36700685376311737,971
AL,full,POP,20.929235312022975,1.3926037918630174,8.801163187284947e-16,971
AL,full,URB,0.7154125328099084,0.4932737031778162,0.15700844429997607,971
AL,full,ENERGY,0.8848368745566374,0.17133994550537904,1.3412302273816859e-05,971
AL,full,TRADE,0.6475843050346087,0.15199496988675193,0.00017619258589288318,971
AL,broad,INFRA,0.6223641825055708,0.12715938598453172,2.517398604709037e-05,1407
AL,broad,HCR,0.21090630061165228,0.22772250756433732,0.3610896092350123,1407
AL,broad,IX,-0.0725213022001108,0.14568117642596481,0.6219204040277748,1407
AL,broad,GDP,1.9555767909987234,0.5389459299918546,0.0009525921101492301,1407
AL,broad,POP,17.279958740167356,1.372090109844405,3.7463995409532645e-14,1407
AL,broad,URB,1.16562303786409,0.6369869428814263,0.0763110069026546,1407
AL,weighted,INFRA,1.1936546874019829,0.20483691686117658,2.007207210987945e-06,971
AL,weighted,HCR,0.6438695298800222,0.33034162441485193,0.060381571273735876,971
AL,weighted,IX,-0.14571348939332107,0.19291594336168866,0.4557572057687298,971
AL,weighted,GDP,0.4664634258081461,0.5325759637520123,0.3878411198847319,971
AL,weighted,POP,19.469634164610753,1.4592364233618136,2.1807589504695908e-14,971
AL,weighted,URB,0.35839367289365953,0.5433158500421147,0.5143550819838871,971
AL,weighted,ENERGY,0.7324721627781465,0.174663535430907,0.00021267815309489855,971
AL,weighted,TRADE,0.6067123135286062,0.12594874019044716,3.625325212167496e-05,971
