year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
1990,AGO,-0.14199546408942607,-0.14147389540116304,2,-0.866682575472589,-0.858139302287836,3
1990,BDI,-0.447879523259452,-0.45940497031314687,2,-0.9128808903500463,-0.9135942957415483,4
1990,BEN,-0.34478395118542216,-0.3522490559542919,2,-0.44921835286548045,-0.4696167968289491,3
1990,BFA,-0.4205982456639058,-0.43104923992805017,2,-1.024920508816529,-1.029318643991541,3
1990,BWA,0.43096732817585703,0.45405460949623616,2,1.4178912924552842,1.4167060656024113,3
1990,CAF,-0.42290463855650917,-0.43344646838612794,2,-0.49820063126442554,-0.503079991942579,4
1990,CIV,-0.14482047772019435,-0.14441017008872994,2,-0.47577142528389793,-0.4750973683314165,2
1990,CMR,-0.2933248264704285,-0.29876325195698783,2,0.24906460108222084,0.2398668992100088,4
1990,COD,-0.48776020658021013,-0.5008563246295391,2,0.11963031103198385,0.11953629712807601,3
1990,COG,-0.10659427202252011,-0.10467845376377836,2,1.5302551051735076,1.5393748094708015,4
1990,COM,-0.07044060603656066,-0.06710090258274165,2,-0.2820232780133425,-0.2371946313790559,2
1990,CPV,0.48328733945851743,0.5084352054371879,2,,,1
1990,DJI,0.051731677687906735,0.0598830454999573,2,,,1
1990,ERI,,,1,,,0
1990,ETH,-0.35686691460063913,-0.36480789788003865,2,-0.9558330074147079,-0.9633103817130317,2
1990,GAB,0.45750590765251153,0.48163839115044765,2,1.2600140064008214,1.2556440717363417,3
1990,GHA,-0.3398551911134199,-0.3471261803395024,2,0.40494561822436287,0.40981316178012644,3
1990,GIN,-0.4213663894624443,-0.4318476364977143,2,-0.8959709221417096,-0.9029601272200699,4
1990,GMB,-0.1516367598737834,-0.15149490643580893,2,-0.7411451711291651,-0.7358600280137884,3
1990,GNB,-0.13637179239797387,-0.1356287395906026,2,,,1
1990,GNQ,-0.3490301036699519,-0.3566624399904189,2,,,0
1990,KEN,-0.054426837584402504,-0.050456443792699666,2,0.5031133509866376,0.5034304270624202,2
